,artist_name,year,track_name,track_id,track_popularity,artist_id,energy,instrumentalness,key,tempo,time_sig,valence,danceability,acousticness,popularity_level
1404,TOMORROW X TOGETHER,2019,Cat & Dog,3RsEvBUaNT9MXqUvQVuK1G,66,0ghlgldX5Dd6720Q3qFyQB,0.794,0.00023,8,160.005,4,0.319,0.843,0.0637,Popular
1405,Lizzo,2019,Cuz I Love You,6YdQgWSpsxhVeX6Xmv3IFJ,62,56oDRnqbIiwx4mymNEv7dS,0.66,0.0,1,162.159,3,0.52,0.566,0.0156,Somewhat Popular
1406,Orla Gartland,2019,Why Am I Like This?,1VaB7rOe1mK60C2M9dUl2Y,58,3ajf12ub55b51qcS94d9Co,0.423,2.24e-06,2,90.019,4,0.319,0.63,0.507,Somewhat Popular
1407,Penny and Sparrow,2019,Eloise,3XnDbrxxtA40HPIIRWLgRT,60,65o6y7GtoXzchyiJB3r9Ur,0.415,0.00149,7,137.775,4,0.405,0.606,0.695,Somewhat Popular
1408,Post Malone,2019,Allergic,1YscJ7yVTlFxW3eF6pv5ba,63,246dkjvS1zLTtiykXe5h60,0.741,3.02e-05,0,144.968,4,0.57,0.665,0.154,Somewhat Popular
1409,ITZY,2019,DALLA DALLA,38rUIlTX93Aoif3WcY1wv6,68,2KC9Qb60EaY0kW4eH68vr3,0.853,4.23e-05,11,125.0,4,0.713,0.79,0.00116,Popular
1410,Ed Sheeran,2019,BLOW (with Chris Stapleton & Bruno Mars),6EbduYTr62sSzvl36wWiFM,63,6eUKZXaKkcviH0Ku9w2n3V,0.796,0.0115,1,92.469,4,0.596,0.631,0.000245,Somewhat Popular
1411,Briston Maroney,2019,Caroline,3S5mohVxC0Xuj0tgZ7vU7g,59,7vtSUU3zpHeYJfX6BPNrJd,0.456,3.74e-05,7,149.6,4,0.406,0.506,0.726,Somewhat Popular
1412,Cuco,2019,Hydrocodone,36Uc6BhILjfe4VTgweoHZj,60,2Tglaf8nvDzwSQnpSrjLHP,0.624,0.000395,7,119.946,4,0.468,0.761,0.813,Somewhat Popular
1413,Jonas Brothers,2019,Rollercoaster,7dxKdQC9Vo1hDxIUnt1z0Q,60,7gOdHgIoIKoe4i9Tta6qdD,0.58,0.0,11,123.977,4,0.467,0.697,0.0583,Somewhat Popular
1414,Khalid,2019,Free Spirit,2kAIpGWnlFLQh48iut6Zzq,61,6LuN9FCkKOj5PcnpouEgny,0.446,0.00077,2,139.994,4,0.11,0.627,0.308,Somewhat Popular
1415,binki,2019,Sea Sick,3qiX7QXv6w6y4wsr5KP6U1,60,2jbd7OqeJJd1hz81vOXwwW,0.577,0.000366,6,112.025,4,0.928,0.817,0.117,Somewhat Popular
1416,Hozier,2019,Dinner & Diatribes,5tCtCqWcXBf7eoIunSxlO8,58,2FXC3k01G6Gw61bmprjgqS,0.769,0.0274,1,110.835,3,0.333,0.499,0.00416,Somewhat Popular
1417,Survive Said The Prophet,2019,MUKANJYO,4MTgIH5OZQHAbdBWgbKSAb,65,7zyObVag8rUjItn71SkIrh,0.961,0.0,7,94.926,4,0.31,0.468,0.00364,Popular
1418,NF,2019,Options,1Q3HtTFGxjmEljAw7Y0CaR,61,6fOMl44jA4Sp5b9PpYCkzz,0.768,1.98e-05,8,141.006,4,0.328,0.808,0.523,Somewhat Popular
1419,LÉON,2019,Hope Is A Heartache,3w1P8nwsVi9vxrGvxYLzAC,65,4SqTiwOEdYrNayaGMkc7ia,0.495,0.0,5,171.4,4,0.235,0.468,0.429,Popular
1420,BTS,2019,Dionysus,2Wkm4JBcIV2uSuu4qlbqFN,67,3Nrfpe0tUJi4K4DXYWgMUX,0.91,0.0,7,176.084,4,0.588,0.502,0.04,Popular
1421,Stray Kids,2019,MIROH,2sFWzfV3kqAwXEWM9BjzwH,67,2dIgFjalVxs4ThymZ67YCE,0.979,0.0,9,126.059,4,0.505,0.564,0.0091,Popular
1422,Khalid,2019,Right Back (feat. A Boogie Wit Da Hoodie),6PYnUsNEpYC7A4BS2sjw3L,61,6LuN9FCkKOj5PcnpouEgny,0.428,1.1e-06,5,97.001,4,0.556,0.786,0.0933,Somewhat Popular
1423,Ariana Grande,2019,make up,27356GVuMPFWiJSZCragoM,63,66CXWjxzNUsdJxJ2JdwvnR,0.714,1.48e-06,7,105.137,3,0.477,0.671,0.0844,Somewhat Popular
1424,Major Lazer,2019,Que Calor (feat. J Balvin & El Alfa),1RKZvaLj3UPhGjZkaIrFm7,62,738wLrAtLtCtFOLvQBXOXp,0.885,0.00638,8,126.037,4,0.46,0.795,0.0375,Somewhat Popular
1425,Faye Webster,2019,Jonny,5tuBenbZ1Or9xENTyOKoGC,59,5szilpXHcwOqnyKLqGco5j,0.232,0.0187,6,79.821,3,0.27,0.609,0.417,Somewhat Popular
1426,Doja Cat,2019,Better Than Me,1ZiJGdjNtvgngdT3wRKVqS,60,5cj0lLjcoR7YOSnhnX0Po5,0.759,3.31e-05,1,129.926,4,0.509,0.674,0.294,Somewhat Popular
1427,Lana Del Rey,2019,The Next Best American Record,7vRfxLcDDwgYW2WTrtEgUV,64,00FQb4jTyendYWaN8pK0wa,0.354,2.75e-05,2,108.083,4,0.118,0.569,0.616,Somewhat Popular
1428,Blood Orange,2019,I Wanna C U,4BD3sl4HjTAzWGVIP8LLm4,62,6LEeAFiJF8OuPx747e1wxR,0.304,0.181,0,99.773,4,0.72,0.793,0.715,Somewhat Popular
1429,Confetti,2019,Rob A Bank,4DZ1owekDuxYANUMiqe4mA,65,1oyUjl52ohRrCv3EL1UdpM,0.815,0.0,1,152.154,4,0.59,0.647,0.00598,Popular
1430,SHAED,2019,Trampoline (with ZAYN),2ez6qvOTHKeI3ss80NGqnI,68,3KwmxIhSe9UTSEF37kwngR,0.459,0.0,7,126.803,4,0.498,0.619,0.56,Popular
1431,Julia Michaels,2019,17,0ND8rF8oirMXtE59n585P6,64,0ZED1XzwlLHW4ZaG4lOT6m,0.466,0.0,4,97.975,4,0.396,0.774,0.458,Somewhat Popular
1432,Sebastian Yatra,2019,Un Año,2vrpcQNg6itmgVZWsNjWe0,73,07YUOmWljBTXwIseAUd9TW,0.378,0.0,1,94.946,4,0.513,0.773,0.14,Popular
1433,Wingtip,2019,Happiness,1ykvoWmCH2VZGBUHYAmAv9,59,1Eie0tY91rpi7Y0jtIOXzI,0.72,0.0,1,91.038,4,0.797,0.811,0.0354,Somewhat Popular
1434,Vampire Weekend,2019,Harmony Hall,39exKIvycQDgs4T6uXdyu0,61,5BvJzeQpmsdsFp4HGUYUEx,0.76,0.000129,11,98.008,4,0.6,0.653,0.475,Somewhat Popular
1435,NF,2019,Returns,2uEuo87JC9tc1dzmPUtOxj,61,6fOMl44jA4Sp5b9PpYCkzz,0.828,0.0,5,75.684,4,0.709,0.653,0.406,Somewhat Popular
1436,Alan Walker,2019,On My Way,4n7jnSxVLd8QioibtTDBDq,74,7vk5e3vY1uw9plTHJAMwjN,0.689,0.0,1,170.087,4,0.297,0.509,0.0209,Popular
1437,Tyga,2019,Ayy Macarena,6LcauUZjF1eXQrgqMUecHX,69,5LHRHt1k9lMyONurDHEdrp,0.629,0.0,2,96.493,4,0.714,0.816,0.133,Popular
1438,gianni & kyle,2019,do u even miss me at all?,1AHf5FSofKcUw8tyKkccKF,61,5i4BaWy8YIun1u3RXwmlWn,0.519,0.0,10,100.039,4,0.452,0.819,0.384,Somewhat Popular
1439,Ed Sheeran,2019,Put It All on Me (feat. Ella Mai),5T03itPFOPGGkvVPvPiyla,65,6eUKZXaKkcviH0Ku9w2n3V,0.594,0.0,7,101.007,4,0.388,0.627,0.256,Popular
1440,Kehlani,2019,Feels,4BOikd4oZjOYMde9AXfrTo,64,0cGUm45nv7Z6M6qdXYQGTX,0.609,4.1e-05,9,80.362,1,0.381,0.369,0.259,Somewhat Popular
1441,Vampire Weekend,2019,This Life,4dRqYKhLVujxiBXcq50YzG,63,5BvJzeQpmsdsFp4HGUYUEx,0.712,3.39e-06,9,170.234,4,0.83,0.62,0.228,Somewhat Popular
1442,Lil Dicky,2019,Earth,2S1LebN6AXXQqJolBxlWgO,63,1tqhsYv8yBBdwANFNzHtcr,0.664,0.0,2,95.941,4,0.676,0.694,0.639,Somewhat Popular
1443,Alan Walker,2019,"Alone, Pt. II",0bMbDctzMmTyK2j74j3nF3,74,7vk5e3vY1uw9plTHJAMwjN,0.668,0.0,3,88.033,4,0.608,0.67,0.536,Popular
1444,Bebe Rexha,2019,Last Hurrah,0i0wnv9UoFdZ5MfuFGQzMy,64,64M6ah0SkkRsnPGtGiRAbb,0.618,0.0,11,84.259,4,0.401,0.514,0.175,Somewhat Popular
1445,DOUBLECAMP,2019,Dreamers,5lM7WOaPyCHi1S0FBrqQ6k,58,6IvIbSOsPLkPS4N1MO4Fdy,0.675,9.29e-05,0,119.986,4,0.468,0.772,0.0765,Somewhat Popular
1446,Ed Sheeran,2019,Antisocial (with Travis Scott),1DhRbox3xkceP64k3JeYfW,64,6eUKZXaKkcviH0Ku9w2n3V,0.823,0.0,5,151.957,4,0.91,0.716,0.132,Somewhat Popular
1447,ROLE MODEL,2019,hello!,7a2IJHzw9WJjoknwdnCop0,60,1dy5WNgIKQU6ezkpZs4y8z,0.462,0.0,10,125.913,4,0.556,0.791,0.505,Somewhat Popular
1448,Marshmello,2019,Rescue Me,35rozLoS6QLE8HX8qswM3k,61,64KEffDW9EtZ1y2vBYgq8T,0.905,0.0,11,148.149,4,0.375,0.433,0.00803,Somewhat Popular
1449,BTS,2019,Make It Right,3LSjYk6sFQaLi0MjtWcm8P,68,3Nrfpe0tUJi4K4DXYWgMUX,0.706,0.0,7,105.782,4,0.259,0.639,0.0104,Popular
1450,NF,2019,Nate,1SDtZ69uALD5zW8k9S8hTf,61,6fOMl44jA4Sp5b9PpYCkzz,0.852,0.0,11,84.799,4,0.537,0.481,0.661,Somewhat Popular
1451,j-hope,2019,Chicken Noodle Soup (feat. Becky G),2y6Ty2NPAsP84XJAtzLxuk,69,0b1sIQumIAsNbqAoIClSpy,0.817,1.19e-05,2,97.008,4,0.167,0.827,0.00496,Popular
1452,Olivia Rodrigo,2019,"Wondering - From ""High School Musical: The Musical: The Series""",6GfTYfb5eBLN1p1ByOsPmi,63,1McMsnEElThX1knmY4oliG,0.444,0.0,6,129.385,4,0.221,0.469,0.808,Somewhat Popular
1453,NCT DREAM,2019,BOOM,6rcn967QN5JtkPOBDwYIuT,68,1gBUSTR3TyDdTVFIaQnc02,0.516,0.0,5,119.969,4,0.702,0.914,0.131,Popular
1454,Sinéad Harnett,2019,If You Let Me,6F428UUtHqMwxwOtDajrDZ,61,6tUJpYN2aYiXbzAcg0pIOo,0.48,1.89e-06,5,99.055,4,0.329,0.466,0.271,Somewhat Popular
1455,Rick Ross,2019,Gold Roses (feat. Drake),1rX5L6pyl3rVWb55D8Cprr,63,1sBkRIssrMs1AbVkOJbc7a,0.633,0.0,1,83.226,4,0.552,0.502,0.00991,Somewhat Popular
1456,Jervis Campbell,2019,Garden,18RAcbwi6NAeHbeFaufyAE,59,31Bh5G3Q9JzwqPpHDLIQtW,0.592,0.00042,7,120.033,4,0.326,0.658,0.203,Somewhat Popular
1457,Calvin Harris,2019,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,73,7CajNmpbOovFoOoasH2HaY,0.887,0.000503,1,122.015,4,0.606,0.807,0.016,Popular
1458,Dominic Fike,2019,Açaí Bowl,5M3KOe4FGUidvRDUbFFdFk,59,6USv9qhCn6zfxlBQIYJ9qs,0.439,0.000367,2,91.972,4,0.352,0.687,0.502,Somewhat Popular
1459,girl in red,2019,watch you sleep.,6tMwheKgpMHBcHtr8aYMn8,64,3uwAm6vQy7kWPS2bciKWx9,0.221,0.00527,2,132.997,4,0.374,0.456,0.932,Somewhat Popular
1460,Hozier,2019,No Plan,4byXh93siQtzKLdjKuJaAF,58,2FXC3k01G6Gw61bmprjgqS,0.75,1.69e-05,9,80.019,4,0.564,0.456,0.115,Somewhat Popular
1461,benny blanco,2019,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",1WSGTYKLEpKfNQYYW5Oymt,66,5CiGnKThu5ctn9pBxv7DGa,0.468,3.65e-06,10,95.266,4,0.69,0.541,0.404,Popular
1462,Drake,2019,5 Am in Toronto,0FnxK9FEAQyPJ284QcieNb,60,3TVXtAsR1Inumwj472S9r4,0.88,0.0,11,87.195,4,0.391,0.555,0.0678,Somewhat Popular
1463,Piso 21,2019,Pa' Olvidarme De Ella,1cVlW9WQiGlFdWUXFdFZGh,71,4bw2Am3p9ji3mYsXNXtQcd,0.542,0.0,0,90.016,3,0.637,0.728,0.259,Popular
1464,NF,2019,Let Me Go,2PqSOrlabozEH6KXs7BvQr,61,6fOMl44jA4Sp5b9PpYCkzz,0.337,6.18e-06,9,173.877,3,0.137,0.554,0.456,Somewhat Popular
1465,Alessia Cara,2019,I'm Like A Bird - Recorded at Spotify Studios NYC,2JtSnwYNKOphDrshYL8n4p,67,2wUjUUtkb5lvLKcGKsKqsR,0.639,0.0,10,87.998,4,0.582,0.524,0.238,Popular
